method,seed,endurance_min,mission_time_min,energy_Wh,completed,mean_comp_time,final_soc,fuel_used_Wh,fuel_remaining_Wh,mean_wind,max_wind
baseline_offline,19,123.4,38.7,239.7248533926699,True,,0.21211882340012012,250.0018158320821,-0.0018158320820873541,3.2949539108816817,11.725660701229891
aemcf,19,124.78333333333333,39.53333333333333,241.28855611234786,True,0.0015783488743161002,0.19996420455933014,249.99475592753672,0.00524407246328451,3.3017858362407213,11.725660701229891
aemcf_nowind,19,124.25,38.68333333333333,241.33958857919876,True,0.0015616598574112333,0.19993906419405963,249.95973968996884,0.04026031003115804,3.298973480217877,11.725660701229891
baseline_fixed,20,107.95,38.233333333333334,210.31696454880773,True,,0.1999958096043788,194.74974703495354,55.25025296504646,3.00246644685233,9.171516672199274
baseline_offline,20,123.4,38.233333333333334,239.72990204880173,True,,0.21210328346642668,250.0066220290366,-0.006622029036606136,3.018322800665334,9.171516672199274
aemcf,20,123.38333333333334,38.833333333333336,241.3846917534992,True,0.0015931173589081526,0.19996952325469075,249.96142427534906,0.038575724650939947,3.0181758940231784,9.171516672199274
aemcf_nowind,20,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0015897047832624399,0.19996069558484483,250.0184582747026,-0.018458274702595645,3.0268729710907443,9.171516672199274
baseline_fixed,21,107.95,39.03333333333333,210.3194322977173,True,,0.19998700944873105,194.75052214252096,55.249477857479036,3.2352713249113756,9.478827308903716
baseline_offline,21,123.4,39.03333333333333,239.7323697977113,True,,0.2120956876521278,250.00601723774514,-0.0060172377451408465,3.2345110088354385,10.043124231983034
aemcf,21,124.21666666666667,40.083333333333336,241.34442154413676,True,0.001516520674225233,0.19994676812384124,249.99553992545918,0.004460074540816095,3.225822336002492,10.043124231983034
aemcf_nowind,21,124.25,38.68333333333333,241.33958857919876,True,0.001503552402951385,0.19999312349040851,249.97079051620304,0.029209483796961422,3.2253117131201803,10.043124231983034
baseline_fixed,22,107.96666666666667,38.36666666666667,210.34440669822723,True,,0.19989794908655234,194.77402565851716,55.22597434148284,2.999997063189988,10.086623019289567
baseline_offline,22,123.41666666666667,38.36666666666667,239.75734419822123,True,,0.21201881560581184,250.03214279648256,-0.03214279648256024,2.9407065184153893,10.086623019289567
aemcf,22,124.35,38.983333333333334,241.3396566110069,True,0.0015809695128002168,0.1999517926335906,249.9947565291823,0.005243470817703155,2.949891803116878,10.086623019289567
aemcf_nowind,22,124.25,38.68333333333333,241.33958857919876,True,0.0015620745888666446,0.19999951164411192,249.971595432591,0.028404567409012316,2.9499952869146,10.086623019289567
baseline_fixed,23,107.95,39.733333333333334,210.31686956404835,True,,0.19999614832630364,194.74944837344148,55.25055162655852,3.0307571895475824,9.71154045130723
baseline_offline,23,123.4,39.733333333333334,239.72980706404235,True,,0.21210357583271663,250.00600933202995,-0.006009332029947245,3.061596785335163,9.71154045130723
