method,seed,endurance_min,mission_time_min,energy_Wh,completed,mean_comp_time,final_soc,fuel_used_Wh,fuel_remaining_Wh,mean_wind,max_wind
aemcf_nowind,14,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0020248204510494483,0.19993507406224673,250.02819894132125,-0.028198941321250004,2.1777469847602955,7.110047882295382
baseline_fixed,15,107.96666666666667,38.63333333333333,210.34251135117063,True,,0.1999047080193742,194.77163476211274,55.22836523788726,2.0165309100983526,5.5078841430600685
baseline_offline,15,123.41666666666667,38.63333333333333,239.75544885116463,True,,0.21202464954791747,250.028509254873,-0.0285092548730006,2.0052918147886385,5.5078841430600685
aemcf,15,124.6,39.016666666666666,241.32348810136844,True,0.001968872510568628,0.19992231174819897,249.98519307246147,0.014806927538529635,2.0023250395518724,5.5078841430600685
aemcf_nowind,15,124.26666666666667,38.68333333333333,241.3713177458654,True,0.002070626483503815,0.19991253445850216,250.02633964735273,-0.02633964735272798,2.004522183468777,5.5078841430600685
baseline_fixed,16,107.95,39.96666666666667,210.31579641070076,True,,0.19999997526203994,194.74663071350162,55.25336928649838,2.0076624562175285,6.410043881506798
baseline_offline,16,123.4,39.96666666666667,239.72873391069476,True,,0.21210687903488,250.00067932696913,-0.0006793269691343085,1.9976423693392955,6.410043881506798
aemcf,16,125.35,40.38333333333333,241.24047465809096,True,0.0018994768333986006,0.19997693694024285,249.96357801756895,0.03642198243105099,1.9979051129970844,6.410043881506798
aemcf_nowind,16,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0019429236638964544,0.19991989000080432,250.02940590566806,-0.029405905668056675,2.0005550264941157,6.410043881506798
baseline_fixed,17,107.96666666666667,38.56666666666667,210.3412068089753,True,,0.19990936010302873,194.7715991915865,55.22840080841351,2.0413924745317873,6.076126044464945
baseline_offline,17,123.41666666666667,38.56666666666667,239.7541443089693,True,,0.21202866497275344,250.02980155603404,-0.029801556034044552,2.0302741694161606,6.076126044464945
aemcf,17,124.16666666666667,38.9,241.3751303196903,True,0.0019188087255011033,0.1999046500539546,250.0154067407999,-0.015406740799903673,2.0332244438764846,6.076126044464945
aemcf_nowind,17,124.25,38.68333333333333,241.33958857919876,True,0.002078973933065657,0.19999359126629423,249.98968616051224,0.010313839487764653,2.033607343448754,6.076126044464945
baseline_fixed,18,107.96666666666667,38.93333333333333,210.34566892726113,True,,0.19989344789442587,194.77356309934794,55.22643690065206,2.068668839378452,6.252439692483852
baseline_offline,18,123.41666666666667,38.93333333333333,239.75860642725513,True,,0.21201493042231315,250.02988258377542,-0.02988258377541797,2.0465128813091438,6.252439692483852
aemcf,18,123.11666666666666,39.28333333333333,241.43806568672042,True,0.0020222523703779713,0.19997600041534597,249.98781209171725,0.012187908282754734,2.049440993675445,6.252439692483852
aemcf_nowind,18,124.26666666666667,38.68333333333333,241.3713177458654,True,0.0021268541418956134,0.1999043068252717,250.02431439997835,-0.024314399978351275,2.0463741126355623,6.252439692483852
baseline_fixed,19,107.96666666666667,38.416666666666664,210.34072231933155,True,,0.1999110878251077,194.77138029365943,55.22861970634057,2.148563890585392,6.4146853609464785
